event_name,problema,volume_30d,sdk_origen (mp_lib),name_que_envia_la_web,nombre_correcto
Viewed Viewed Home Rewards,doble prefijo,153955,Segment Actions: analytics.js (web),Viewed Home Rewards,Viewed Home Rewards
Viewed Viewed Loan Application Confirmation,doble prefijo,73152,Segment Actions: analytics.js (web),Viewed Loan Application Confirmation,Viewed Loan Application Confirmation
Viewed Viewed Loan Details,doble prefijo,72472,Segment Actions: analytics.js (web),Viewed Loan Details,Viewed Loan Details
Viewed Viewed Offer Confirmation,doble prefijo,66868,Segment Actions: analytics.js (web),Viewed Offer Confirmation,Viewed Offer Confirmation
Viewed Viewed Personal Information 1,doble prefijo,48158,Segment Actions: analytics.js (web),Viewed Personal Information 1,Viewed Personal Information 1
Viewed Viewed Personal Information 3,doble prefijo,35091,Segment Actions: analytics.js (web),Viewed Personal Information 3,Viewed Personal Information 3
Viewed Viewed Personal Information 2,doble prefijo,34323,Segment Actions: analytics.js (web),Viewed Personal Information 2,Viewed Personal Information 2
Viewed Viewed Wallet Category,doble prefijo,33578,Segment Actions: analytics.js (web),Viewed Wallet Category,Viewed Wallet Category
Viewed Viewed Work Information 1,doble prefijo,33025,Segment Actions: analytics.js (web),Viewed Work Information 1,Viewed Work Information 1
Viewed Viewed Work Information 3,doble prefijo,32712,Segment Actions: analytics.js (web),Viewed Work Information 3,Viewed Work Information 3
Viewed Viewed Work Information 2,doble prefijo,31751,Segment Actions: analytics.js (web),Viewed Work Information 2,Viewed Work Information 2
Viewed Viewed Wallet Home,doble prefijo,29013,Segment Actions: analytics.js (web),Viewed Wallet Home,Viewed Wallet Home
Viewed Viewed Reference,doble prefijo,26549,Segment Actions: analytics.js (web),Viewed Reference,Viewed Reference
Viewed VRM Viewed,sufijo redundante,15257,Segment Actions: analytics.js (web),VRM Viewed,Viewed VRM
Viewed Viewed Bureau Consent Clause Confirmation,doble prefijo,10754,Segment Actions: analytics.js (web),Viewed Bureau Consent Clause Confirmation,Viewed Bureau Consent Clause Confirmation
Viewed Orders In Progress Displayed,sufijo redundante,9013,Segment Actions: analytics.js (web),Orders In Progress Displayed,Viewed Orders In Progress
Viewed VRM Earnings Viewed,sufijo redundante,8918,Segment Actions: analytics.js (web),VRM Earnings Viewed,Viewed VRM Earnings
Viewed Viewed Rewards Challenge Information,doble prefijo,8773,Segment Actions: analytics.js (web),Viewed Rewards Challenge Information,Viewed Rewards Challenge Information
Viewed,sin nombre (page() vacío),3995,Segment Actions: analytics.js (web),(vacío — páginas /nps y /pay/nps),Viewed NPS
Viewed Viewed Rewards Challenge Completed Screen,doble prefijo,2614,Segment Actions: analytics.js (web),Viewed Rewards Challenge Completed Screen,Viewed Rewards Challenge Completed Screen
Viewed Primary Offer Displayed,sufijo redundante,2402,Segment Actions: analytics.js (web),Primary Offer Displayed,Viewed Primary Offer
Viewed Viewed Transactions History,doble prefijo,2162,Segment Actions: analytics.js (web),Viewed Transactions History,Viewed Transactions History
Viewed Viewed Wallet Information,doble prefijo,1653,Segment Actions: analytics.js (web),Viewed Wallet Information,Viewed Wallet Information
Viewed Personal Info Viewed,sufijo redundante,801,Segment Actions: analytics.js (web),Personal Info Viewed,Viewed Personal Info
Viewed Viewed Card Statement,doble prefijo,551,Segment Actions: analytics.js (web),Viewed Card Statement,Viewed Card Statement
Viewed Viewed References,doble prefijo,531,Segment Actions: analytics.js (web),Viewed References,Viewed References
Viewed Viewed Card Request Confirmation,doble prefijo,524,Segment Actions: analytics.js (web),Viewed Card Request Confirmation,Viewed Card Request Confirmation
Viewed Bank Account Viewed,sufijo redundante,485,Segment Actions: analytics.js (web),Bank Account Viewed,Viewed Bank Account
Viewed Review Viewed,sufijo redundante,345,Segment Actions: analytics.js (web),Review Viewed,Viewed Review
Viewed Viewed Wallet Store,doble prefijo,51,Segment Actions: analytics.js (web),Viewed Wallet Store,Viewed Wallet Store
Viewed Viewed Wallet Onborading,doble prefijo,13,Segment Actions: analytics.js (web),Viewed Wallet Onborading,Viewed Wallet Onborading
