event_name,product_context,volume_30d
$mp_page_leave,undefined,1
$mp_web_page_view,undefined,1
API Error Received,pay,12078
API Error Received,undefined,4203
Account Deleted,undefined,7712
Account Type Selected,pay,494
Active Credit When Deleting Account,presta,287
Active Credit When Deleting Account,pay,89
Add Credit Card Clicked,pay,2028
Add Credit Card Failed,pay,814
Add seller submitted,pay,749
Address Receipt Submitted,undefined,5118
Address Verification Failed,undefined,3221
Address Verified,undefined,1882
Auth Error Received,pay,1937
Auth Error Received,undefined,19
Authentication Error,pay,2848
Authentication Error,presta,38
Backend Checkout Completed,pay,6193
Backend Credit Line Decreased,pay,670
Backend Credit Line Increased,pay,1432
Backend Credit Line Not Assigned,pay,455
Backend Initial Credit Line Assigned,pay,3916
Backend Initial Risk Segment Assigned,pay,6095
Backend Loan Fulfilled,pay,4854
Backend Loan Installment Payment Reminder,pay,11156
Backend Loan Late Fee Created,pay,2321
Backend Loan Payment Distribution Applied,pay,9452
Backend Loan Reversed,pay,48
Backend Manual Installments Modified,pay,113
Backend Manual Payment Approved,pay,276
Backend Payment Approved,pay,11673
Backend Payment Intent Approved,pay,2330
Backend Payment Intent Rejected,pay,214
Backend Payment Rejected,pay,99641
Backend Payment Session Created,pay,3301
Backend Payment Session Express Onboarding Rejected,pay,201
Backend Payment Session Updated,pay,354
Backend Payment Velocity Rule Exceeded,pay,274
Backend Risk Segment Downgraded,pay,242
Backend Risk Segment Upgraded,pay,239
Backend User Balance Updated,pay,35303
Backend User Created,pay,5092
Backend User ID Verification Requested,pay,1407
Backend User Profile Completed,pay,1939
Backend Vana Pay User Updated,pay,26
Bank Account Submitted,pay,346
Bank Account Update Attempt,presta,73492
Bank Info Error,pay,73
Bank Selected,pay,826
Bank Ticket Confirmation,pay,2562
Bank Ticket Upload,pay,3305
Bank Ticket Upload Started,pay,3112
Biometric Activation Completed,presta,2
Biometric Activation Started,presta,2
Biometric Unlock Succeeded,presta,13
Bot Payment Details Required,undefined,687
Card Activation Completed,card,213
Card Activation Failed,card,5
Card Activation Requested,card,340
Card Activation Submitted,card,218
Card Application Closed,card,16
Card Application Confirmation Error,card,16
Card Application Submitted,card,448
Card Balance Loaded,card,3900
Card Details Closed,card,138
Card Details Opened,card,499
Card Lock Requested,card,127
