event_name,project,volume_30d,in_lexicon,verified,hidden,dropped,tags,description
Viewed Home,Vana (3370988),8458681,True,False,False,False,,
Viewed PIN Authentication,Vana (3370988),3497796,True,False,False,False,,
In_app Sent,Vana (3370988),2019764,True,False,False,False,,
Email Opened,Vana (3370988),1197925,True,False,False,False,,
Viewed User Profile,Vana (3370988),1175694,True,False,False,False,,
Viewed Onboarding,Vana (3370988),1110239,True,False,False,False,,
Viewed Phone Input,Vana (3370988),1091969,True,False,False,False,,
voicemail,Vana (3370988),882322,True,False,False,False,,
Viewed Rewards Home,Vana (3370988),859516,True,False,False,False,,
Start Loan Application Button Pressed,Vana (3370988),836047,True,False,False,False,,
Viewed Payment Methods Selection,Vana (3370988),748595,True,False,False,False,,
Viewed Phone Verification Code Input,Vana (3370988),746802,True,False,False,False,,
Viewed Notification Inbox,Vana (3370988),717818,True,False,False,False,,
Notification Inbox Viewed,Vana (3370988),698112,True,False,False,False,,
Viewed Offer,Vana (3370988),675607,True,False,False,False,,
not_connected,Vana (3370988),670693,True,False,False,False,,
Liveness Verification Started,Vana (3370988),638572,True,False,False,False,,
Phone Verified,Vana (3370988),615189,True,False,False,False,,
Viewed Phone Verification Confirmation,Vana (3370988),564055,True,False,False,False,,
Login Attempt,Vana (3370988),541259,True,False,False,False,,
Viewed Reference,Vana (3370988),505858,True,False,False,False,,
Viewed Loan Breakout,Vana (3370988),488550,True,False,False,False,,
Push Dropped,Vana (3370988),488017,True,False,False,False,,
Viewed Bank Selection,Vana (3370988),483131,True,False,False,False,,
Notification Inbox Pressed,Vana (3370988),464033,True,False,False,False,,
Loan Application Submitted,Vana (3370988),438784,True,False,False,False,,
Viewed Loan Details,Vana (3370988),435805,True,False,False,False,,
Viewed Bank Account Details,Vana (3370988),420221,True,False,False,False,,
Loan Application Approved,Vana (3370988),405948,True,False,False,False,,
Webhook Converted,Vana (3370988),404001,True,False,False,False,,
SignUp Attempt,Vana (3370988),399333,True,False,False,False,,
Viewed Offer Confirmation,Vana (3370988),385991,True,False,False,False,,
Viewed Loan Application Confirmation,Vana (3370988),383803,True,False,False,False,,
Viewed HelpCenter,Vana (3370988),371689,True,False,False,False,,
Loan Offer Accepted,Vana (3370988),365138,True,False,False,False,,
Viewed Loan Uploading,Vana (3370988),359719,True,False,False,False,,
Viewed Bank Ticket  Details,Vana (3370988),358851,True,False,False,False,,
Payment Created,Vana (3370988),346404,True,False,False,False,,
Rewards Challenge Information,Vana (3370988),344903,True,False,False,False,,
Viewed ID Front Upload Instructions,Vana (3370988),344457,True,False,False,False,,
Push Delivered,Vana (3370988),335781,True,False,False,False,,
Viewed Bank Account Confirmation,Vana (3370988),319986,True,False,False,False,,
ID Submitted,Vana (3370988),315081,True,False,False,False,,
Push Opened,Vana (3370988),310422,True,False,False,False,,
Loan Transfer Processing,Vana (3370988),302348,True,False,False,False,,
Payment Approved,Vana (3370988),299384,True,False,False,False,,
Loan Released,Vana (3370988),297587,True,False,False,False,,
Viewed Personal Information 1,Vana (3370988),292792,True,False,False,False,,
Viewed Bank Ticket Upload,Vana (3370988),283472,True,False,False,False,,
Contract Signature Submitted,Vana (3370988),277974,True,False,False,False,,
Viewed Payment Chain Selection,Vana (3370988),267608,True,False,False,False,,
PIN Authenticated,Vana (3370988),265648,True,False,False,False,,
Viewed Permissions Instructions,Vana (3370988),261377,True,False,False,False,,
Viewed Promissory Note,Vana (3370988),260858,True,False,False,False,,
Login Button Pressed,Vana (3370988),260209,True,False,False,False,,
Push Converted,Vana (3370988),252981,True,False,False,False,,
Create Account Button Pressed,Vana (3370988),246672,True,False,False,False,,
Loan Fulfilled,Vana (3370988),244768,True,False,False,False,,
Viewed Bank Account Info,Vana (3370988),233500,True,False,False,False,,
Viewed PIN Creation,Vana (3370988),231644,True,False,False,False,,
Viewed Wallet Onboarding,Vana (3370988),228928,True,False,False,False,,
Viewed Bank Image Confirmation,Vana (3370988),225832,True,False,False,False,,
Viewed ID Back Upload Instructions,Vana (3370988),225789,True,False,False,False,,
